Submission ID,cup_assumptions,spent_assumptions,eq_assumptions
GrBAro,2,1.6666666666666667,1250
KMBK67,0,1.0,400
xdN5QG,1,2.3333333333333335,200
XeBPe4,1,1.0,1250
8dp4kx,2,1.0,400
EPb71N,3,1.0,200
eBxWBO,2,1.0,400
6dQExe,2,1.6666666666666667,200
24xGrp,2,2.3333333333333335,750
5dqP2M,3,1.6666666666666667,750
QABlrg,1,1.0,400
xdN5Qo,2,1.0,400
vNx5AQ,1,0.3333333333333333,10
YZzldq,1,1.0,75
zKQ5zq,1,1.0,1250
5dqPkd,3,3.0,750
1r2ovO,2,2.3333333333333335,400
PABJB0,1,1.6666666666666667,35
AlbeDW,1,1.0,750
GrBA1o,2,5.0,1250
6dQE15,2,1.6666666666666667,400
LdMLG1,3,2.3333333333333335,1250
LdML0G,1,1.6666666666666667,75
zKQ5Kq,0,0.3333333333333333,10
J2kvJY,3,3.0,1250
rlrMVM,4,3.0,1250
DVv6eb,1,1.0,200
5dqPdd,2,1.6666666666666667,1250
RzByLl,2,1.0,400
5dqPvP,3,1.6666666666666667,1250
YZzlV0,2,1.0,200
vNx54A,1,1.0,1250
jB9ABE,2,1.6666666666666667,400
RzBy4J,4,1.6666666666666667,750
jB9AxR,3,1.6666666666666667,400
dY2eYA,2,1.6666666666666667,1250
0EjRJ0,1,1.6666666666666667,750
PABJvP,2,1.0,750
DVv60p,1,1.0,200
rlrMKv,0,1.0,400
9dJjJ4,2,1.0,750
oAVL0M,1,2.3333333333333335,1250
vNx5Od,1,1.0,400
QABlYA,2,1.6666666666666667,400
7d9roL,3,1.6666666666666667,750
lNlkNW,2,1.0,400
g5N64N,2,1.6666666666666667,750
g5N65d,1,1.0,200
7d9rdA,2,2.3333333333333335,400
lNlkL5,2,2.3333333333333335,1250
0EjRoQ,3,1.6666666666666667,1250
GrBA1j,0,0.3333333333333333,75
qbE1b7,2,1.0,200
oAVLVM,1,1.0,750
RzByRl,1,1.0,200
g5N6QK,1,1.0,10
QABlBk,2,1.0,75
vNx5NQ,2,1.0,200
6dQEro,2,2.3333333333333335,400
eBxWNo,1,1.0,750
NAB1MN,2,1.0,400
dY2eDy,1,0.3333333333333333,750
MAdpvE,1,1.0,1250
MAdp5Y,2,1.0,400
9dJjE1,2,5.0,400
PABJ20,2,1.0,400
8dp4eA,2,1.6666666666666667,200
DVv65b,2,1.6666666666666667,35
qbE1o8,2,1.0,400
OABMBA,2,0.3333333333333333,35
oAVLlM,5,1.0,750
5dqPEb,2,1.0,35
6dQEOO,2,3.0,200
jB9A99,2,1.0,1250
7d9r46,1,1.0,200
qbE1Yk,2,1.0,400
pLPpWZ,1,1.6666666666666667,200
VZ1Olv,1,1.6666666666666667,200
OABMJp,3,1.6666666666666667,200
aBrqry,2,1.6666666666666667,1250
7d9r9z,3,2.3333333333333335,1250
oAVLl5,2,0.3333333333333333,750
aBrqZW,1,3.0,1250
lNlk06,4,2.3333333333333335,400
ZdRrGv,1,1.6666666666666667,200
xdN5ZG,3,1.6666666666666667,1250
lNlkYV,3,1.6666666666666667,750
VZ1OME,1,1.6666666666666667,400
rlrMrL,1,1.6666666666666667,75
42NVAd,3,1.6666666666666667,1250
jB9AJ1,2,2.3333333333333335,750
ZdRrvA,5,3.0,1250
8dp4dx,1,1.6666666666666667,750
vNx5JX,1,1.0,400
zKQ5e1,0,0.3333333333333333,10
lNlkKV,2,1.6666666666666667,1250
rlrMJX,2,1.0,400
LdMLaz,1,2.3333333333333335,1250
rlrM0L,2,1.0,750
NAB1Rp,2,1.0,200
42NV9d,2,3.0,750
jB9A76,2,1.6666666666666667,750
OABMLK,3,1.0,200
GrBABz,2,1.6666666666666667,750
YZzlY6,0,0.3333333333333333,200
YZzlo0,1,1.6666666666666667,750
g5N671,2,5.0,1250
qbE1k5,2,1.0,750
7d9r16,0,1.0,750
24xGkV,1,1.0,75
BGbWA4,1,1.6666666666666667,10
rlrMJp,2,1.6666666666666667,1250
bl4Qr2,3,2.3333333333333335,1250
aBrqDE,2,2.3333333333333335,1250
YZzlrq,1,1.0,750
VZ1O9l,2,1.6666666666666667,750
EPb7Lo,4,3.0,35
jB9A09,2,1.0,75
EPb7Z2,2,1.0,750
EPb7vA,0,1.0,750
42NVPo,2,3.0,400
g5N6JM,2,1.0,10
9dJj2K,2,5.0,400
xdN5Rk,2,3.0,750
24xGvA,2,1.0,200
ZdRrza,2,1.6666666666666667,10
1r2oN4,3,5.0,1250
VZ1ObN,4,1.0,75
24xGxA,1,2.3333333333333335,1250
pLPpRy,2,1.0,750
J2kvk7,2,1.6666666666666667,1250
oAVL55,2,1.6666666666666667,750
lNlkWp,2,1.6666666666666667,200
QABl8l,2,5.0,750
eBxWxo,0,0.3333333333333333,200
eBxW2E,2,1.6666666666666667,35
rlrMd5,4,1.0,10
RzByvv,2,3.0,1250
rlrM2p,4,1.6666666666666667,400
24xG1g,3,1.0,200
EPb7BL,1,1.6666666666666667,200
eBxWKJ,1,1.6666666666666667,75
zKQ5J8,2,1.0,200
ZdRrZ5,2,1.0,200
1r2o2L,1,1.6666666666666667,1250
xdN599,4,1.0,750
YZzlpz,2,1.6666666666666667,1250
bl4Q82,0,0.3333333333333333,750
PABJ80,3,1.6666666666666667,1250
24xGOb,2,1.6666666666666667,400
5dqPGP,2,1.6666666666666667,1250
